 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1     auditory          180                  0         4.00      5.00822      6.21825      1.21003 
           1            2     auditory          180                  0         4.00      6.34031      7.55290      1.21259 
           1            3     auditory          180                  0         4.00      7.67018      8.87087      1.20070 
           1            4     auditory          180                  1         4.00      8.98786     10.18913      1.20127 
           1            5     auditory          180                  0         4.00     10.33306     11.54063      1.20757 
           1            6     auditory          180                  0         4.00     11.65731     12.85756      1.20024 
           1            7     auditory          180                  0         4.00     12.97439     14.17724      1.20285 
           1            8     auditory          180                  0         4.00     14.29390     15.49497      1.20106 
           1            9     auditory          180                  1         4.00     15.61167     16.81319      1.20152 
           1           10     auditory          180                  0         4.00     16.92996     18.13152      1.20155 
