 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1       visual          180                  0         4.00      5.05266     14.92380      9.87114 
           1            2       visual          180                  1         4.00     15.04395     16.28877      1.24482 
           1            3       visual          180                  0         4.00     16.40582     17.60385      1.19804 
           1            4       visual          180                  0         4.00     17.71967     18.91882      1.19914 
           1            5       visual          180                  0         4.00     19.03625     20.23392      1.19767 
           1            6       visual          180                  0         4.00     20.35162     21.54892      1.19730 
           1            7       visual          180                  0         4.00     21.66711     22.86437      1.19726 
           1            8       visual          180                  0         4.00     22.98239     24.17965      1.19726 
           1            9       visual          180                  1         4.00     24.29768     25.49514      1.19746 
           1           10       visual          180                  0         4.00     25.61222     26.81048      1.19826 
