 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1       visual            0                  0         4.00      5.00037      6.21103      1.21066 
           1            2       visual            0                  0         4.00      6.32794      7.54389      1.21596 
           1            3       visual            0                  0         4.00      7.66071      8.87663      1.21592 
           1            4       visual            0                  1         4.00      8.99356     10.20949      1.21593 
           1            5       visual            0                  0         4.00     10.32636     11.54232      1.21597 
           1            6       visual            0                  0         4.00     11.65914     12.87503      1.21588 
           1            7       visual            0                  0         4.00     12.99196     14.20792      1.21596 
           1            8       visual            0                  0         4.00     14.32472     15.54067      1.21595 
           1            9       visual            0                  0         4.00     15.65753     16.87346      1.21593 
           1           10       visual            0                  0         4.00     16.99031     18.20642      1.21611 
